year,Location,Crop,precipitation (mm),Temperature (°C),Irrigation water usage (m³),Water availability (m³),Crop yield (metric tons/hectare),Irrigation efficiency (%),Irrigation method,Soil moisture (%),water salinity (ppm),Greenhouse gas emissions (metric tons)
2009,Uganda,Irish potatoes,1025.34,19.62,5196.17,44451.8,5.32,0.63,Flood irrigation,0.43,507.85,51.51
2011,Kenya,Soybeans,938.09,29.68,2479.6,40043.46,4.11,0.79,Center pivot irrigation,0.33,652.18,40.6
2019,Tanzania,Wheat,1843.25,28.3,8899.01,89850.22,6.05,0.63,Drip irrigation,0.3,658.88,42.95
2010,South Sudan,Sorghum,646.78,31.49,6425.37,85370.24,1.87,0.71,Drip irrigation,0.5,159.96,21.49
2023,Rwanda,Sweet potatoes,1039.39,23.4,5091.15,73472.25,5.9,0.54,Flood irrigation,0.28,665.29,57.93
1993,South Sudan,Fruits,1110.04,32.34,2988.12,21271.11,5.48,0.84,Center pivot irrigation,0.23,666.84,32.92
2013,Rwanda,Beans,1822.67,15.83,8071.26,18803.22,8.6,0.83,Flood irrigation,0.13,170.44,21.06
2005,Kenya,Wheat,1782.85,26.83,5657.56,70947.55,7.43,0.84,Sprinkler irrigation,0.15,547.33,57.22
2019,Kenya,Cowpeas,1948.97,30.3,2592.3,83588.63,4.39,0.81,Sprinkler irrigation,0.36,527.81,20.62
2005,Uganda,Fruits,1101.71,18.87,2905.06,23773.62,3.05,0.72,Sprinkler irrigation,0.37,314.17,50.85
1995,Tanzania,Groundnuts,658.95,22.34,4965.92,38766.31,5.05,0.77,Center pivot irrigation,0.22,324.49,74.39
2012,Tanzania,Rice,831.46,28.89,9158.84,18979.41,4.01,0.61,Center pivot irrigation,0.12,474.56,87.71
2017,Burundi,Rice,855.41,31.01,2712.83,33150.81,5.59,0.63,Sprinkler irrigation,0.37,634.43,16.01
2021,Burundi,Cowpeas,1061.73,22.15,8875.62,99274.51,8.72,0.55,Flood irrigation,0.36,742.07,11.82
2009,South Sudan,Groundnuts,1670.34,27.19,4398.13,64782.06,4.91,0.9,Center pivot irrigation,0.45,675.64,39.58
2001,Rwanda,Wheat,1500.85,18.36,7318.75,11818.89,5.51,0.67,Drip irrigation,0.18,962.65,34.71
2022,Burundi,Irish potatoes,697.03,32.48,7428.6,64789.02,7.84,0.54,Center pivot irrigation,0.33,420.06,51.74
2006,Uganda,Soybeans,1965.38,22.69,7352.42,43173.27,2.83,0.57,Drip irrigation,0.25,790.09,29.48
2002,Burundi,Sweet potatoes,531.3,30.38,6996.2,47262.3,8.6,0.65,Sprinkler irrigation,0.4,221.83,73.16
1997,Tanzania,Fruits,1106.21,27.09,4578.41,55210.63,8.13,0.67,Center pivot irrigation,0.43,819.37,71.41
2023,Rwanda,Sunflower,679.87,25.18,9128.77,19829.68,3.77,0.68,Center pivot irrigation,0.33,339.6,79.95
1997,Uganda,Wheat,1793.08,27.67,4061.71,22997.04,5.93,0.52,Sprinkler irrigation,0.13,472.63,95.42
1999,Kenya,Vegetables,1139.83,28.43,9509.75,47947.87,9.8,0.56,Drip irrigation,0.38,995.7,11.62
2021,Tanzania,Sorghum,807.73,29.72,6359.07,54381.13,9.18,0.9,Drip irrigation,0.49,897.93,50.48
2023,Rwanda,Maize,1928.9,28.28,1144.58,83995.41,3.78,0.74,Drip irrigation,0.11,786.2,72.61
2023,Tanzania,Cowpeas,1716.83,28.45,6867.6,36553.98,7.48,0.81,Drip irrigation,0.36,331.77,51.7
1997,Uganda,Beans,1189.22,21.96,3382.05,24494.7,5.45,0.51,Flood irrigation,0.37,936.73,19.93
2001,Rwanda,Fruits,1717.1,16.75,7001.79,98950.5,4.8,0.64,Flood irrigation,0.1,123.74,49.37
1995,Burundi,Wheat,998.93,29.01,1964.68,75763.85,2.15,0.88,Flood irrigation,0.39,893.18,68.95
1994,South Sudan,Irish potatoes,952.09,24.04,5430.43,26949.81,6.22,0.6,Sprinkler irrigation,0.23,371.6,17.9
1998,Rwanda,Sunflower,1681.87,34.2,2664.56,76252.23,2.39,0.7,Flood irrigation,0.42,672.12,41.59
2001,Tanzania,Soybeans,874.3,25.43,1247.92,66204.45,7.78,0.62,Center pivot irrigation,0.14,225.56,73.89
2007,South Sudan,Sunflower,1919.29,25.61,6732.2,86245.04,4.39,0.73,Drip irrigation,0.27,105.81,15.93
2014,Burundi,Vegetables,712.96,21.56,2341.29,95501.61,4.02,0.7,Drip irrigation,0.21,113.13,30.7
2011,Tanzania,Irish potatoes,954.46,31.83,8851.06,36135.53,6.87,0.55,Center pivot irrigation,0.2,640,84.35
2019,Kenya,Irish potatoes,1052.2,18.74,3355.15,97363.81,6.48,0.68,Drip irrigation,0.16,950.84,37.95
2016,South Sudan,Groundnuts,1836.13,25.92,2326.4,33732.77,1.38,0.64,Drip irrigation,0.37,439.6,45.22
2023,Rwanda,Pigeon peas,1777.14,29.28,4279.74,55254.57,2.43,0.53,Sprinkler irrigation,0.49,395.82,85.15
2008,Uganda,Sunflower,1130.34,20.5,1416.72,92963.02,5.54,0.7,Sprinkler irrigation,0.44,419.56,77.46
1995,South Sudan,Soybeans,1183.9,31.36,9289.12,64975.13,8.18,0.66,Center pivot irrigation,0.12,264.37,83.16
2016,Uganda,Pigeon peas,1942.15,27.06,4407.14,73339.07,9.67,0.51,Drip irrigation,0.23,351.48,80.44
2013,Rwanda,Groundnuts,1437.6,28.07,8642.85,79522.49,9.35,0.81,Flood irrigation,0.21,920.27,58.42
2023,Uganda,Groundnuts,1899.72,32.66,3268.01,69074.62,1.75,0.85,Drip irrigation,0.33,729.33,55.12
2001,Rwanda,Sorghum,938.02,24.35,7103.05,34452.16,3.86,0.65,Drip irrigation,0.39,103.48,94.79
2020,South Sudan,Soybeans,1800.77,30.86,2861.65,80684.18,3.23,0.74,Center pivot irrigation,0.44,290.2,71.97
2023,Rwanda,Millet,1251.1,25.97,6731.06,83412.72,8.38,0.56,Sprinkler irrigation,0.16,539.21,83.03
1999,Kenya,Rice,1684.92,20.99,6308.47,54140.08,8.88,0.63,Sprinkler irrigation,0.22,737.32,44.69
1997,Rwanda,Sweet potatoes,1633,27.71,3746.32,94209.9,4.18,0.53,Drip irrigation,0.21,379.49,62.02
2000,South Sudan,Cowpeas,1757.08,18.13,3522.09,95331.4,1.12,0.68,Drip irrigation,0.33,653.44,35.5
2016,Tanzania,Sweet potatoes,1854.06,23.08,3736.9,31118.45,9.82,0.52,Drip irrigation,0.12,394.41,27.27
1994,Kenya,Cowpeas,1862.51,21.23,5093.43,64231.59,6.28,0.5,Sprinkler irrigation,0.38,554.62,54.06
2023,South Sudan,Wheat,707.24,16.32,7922.14,96236.74,7.07,0.84,Flood irrigation,0.32,581.2,48.57
2011,Uganda,Wheat,654.64,28.79,4223.59,84889.47,2.41,0.63,Center pivot irrigation,0.46,221.74,83.01
2013,Uganda,Irish potatoes,1861.07,21.35,7427.72,73185.2,8.33,0.71,Center pivot irrigation,0.29,844.55,45.32
1999,South Sudan,Sunflower,828.68,27,7818.73,31247.61,6.85,0.63,Drip irrigation,0.47,643.03,42.64
2002,Uganda,Cowpeas,1156.71,34.41,1293.66,97919.41,1.6,0.69,Sprinkler irrigation,0.45,400.75,11.27
2010,Burundi,Sorghum,1267.34,15.52,6219.43,20686.11,2.45,0.78,Sprinkler irrigation,0.39,728.06,17.67
2009,Kenya,Sweet potatoes,1474.99,26.52,9683.82,60544.41,1.52,0.52,Flood irrigation,0.26,916.13,92.36
1997,Burundi,Wheat,1087.42,31.96,3945.24,86298.43,8.62,0.83,Drip irrigation,0.19,881.85,28.43
2019,Kenya,Sweet potatoes,754.72,18.58,1944.53,75720.64,8.06,0.67,Center pivot irrigation,0.42,324.2,12.44
1996,Kenya,Wheat,1062,31.64,8681.21,41690.95,9.81,0.73,Center pivot irrigation,0.36,787.26,60.86
2009,Kenya,Millet,949.29,26.15,3700.3,61898.7,1.73,0.78,Center pivot irrigation,0.42,998.88,70.16
2013,South Sudan,Sunflower,904.04,21.48,1491.83,10944.83,7.69,0.84,Center pivot irrigation,0.24,680.48,57.06
2004,Tanzania,Irish potatoes,909.85,18.38,4971.89,69460.97,6.95,0.67,Flood irrigation,0.42,604.46,26.39
2012,Uganda,Maize,1111.93,27.37,9488.81,80836.34,9.06,0.9,Center pivot irrigation,0.38,463.11,56.83
2021,Kenya,Vegetables,1059.04,29.25,6809.91,44102.81,1.65,0.63,Flood irrigation,0.47,598.64,61.03
2022,Rwanda,Cowpeas,901.46,26.74,1016.98,22576.3,4.82,0.64,Drip irrigation,0.31,120.55,75.23
2017,Uganda,Cowpeas,1510.19,26.39,8414.9,82152.06,8.52,0.54,Sprinkler irrigation,0.42,986.94,29.97
2013,Uganda,Irish potatoes,1466.29,28.36,7489.47,31098.63,1.21,0.74,Center pivot irrigation,0.46,654.96,40.85
2008,Rwanda,Irish potatoes,1546.27,32.51,9463.82,25595.37,6.61,0.7,Sprinkler irrigation,0.37,610.78,26.76
2001,South Sudan,Beans,1251.39,21.79,4337.31,58700.68,8.35,0.87,Sprinkler irrigation,0.42,459.2,34.75
2015,Uganda,Soybeans,1899.17,31.03,9882.33,92827.35,1.31,0.79,Drip irrigation,0.5,459.46,45.3
2011,Rwanda,Irish potatoes,604.87,30.75,6623.63,98208.53,2.34,0.59,Center pivot irrigation,0.35,320.64,97.77
2022,Tanzania,Beans,702.75,24.86,9105.61,98820.16,8.8,0.69,Sprinkler irrigation,0.44,222.36,61.62
1995,Kenya,Cassava,1490.74,25.8,2931.09,51936.56,7.71,0.86,Center pivot irrigation,0.23,891.4,73.47
2018,Tanzania,Vegetables,1831.95,21.17,1265.29,96551.3,7.29,0.62,Flood irrigation,0.41,121.18,57.72
2017,Rwanda,Beans,1362.32,34.26,1092.59,98652.45,5.25,0.54,Drip irrigation,0.16,570.81,48.48
2008,Rwanda,Sorghum,543.88,23.04,2254.05,58972.77,2.78,0.59,Drip irrigation,0.16,777.69,65.29
2021,Rwanda,Sunflower,1750.96,32.7,3381.74,67708.03,6.97,0.84,Drip irrigation,0.32,833.05,98.96
2009,Uganda,Fruits,1179.46,27.21,8930.9,80499.66,9.26,0.55,Sprinkler irrigation,0.4,987.04,86.12
2004,South Sudan,Soybeans,1805.07,28.65,1642.82,58400.66,3.77,0.75,Center pivot irrigation,0.33,315.39,80.43
2007,Kenya,Beans,1284.83,20.3,3625.6,28480.25,2.54,0.73,Drip irrigation,0.37,719.75,78.74
2010,Rwanda,Sweet potatoes,848.27,33.15,7699.22,82433.23,5.2,0.8,Drip irrigation,0.37,574.01,40.94
2020,Uganda,Millet,1841.85,29.8,7747.86,44794.8,8.99,0.81,Flood irrigation,0.37,101.79,11.4
2016,Rwanda,Beans,1161.31,18.69,9953.99,98665.51,5.22,0.81,Center pivot irrigation,0.15,838.19,87.5
2013,Tanzania,Soybeans,1640.33,27.5,9282.63,28409.42,5.46,0.68,Sprinkler irrigation,0.12,768.36,48.32
1999,Uganda,Groundnuts,1405.72,15.64,5217.33,89435.16,9.04,0.63,Sprinkler irrigation,0.33,298.83,24.25
1995,Burundi,Sorghum,916.18,27.73,3169.81,75696.37,3.67,0.59,Drip irrigation,0.39,643.34,68.72
2022,South Sudan,Fruits,1222.29,27.43,4573.32,51272.03,1.39,0.67,Sprinkler irrigation,0.45,880.74,10.28
2009,Tanzania,Rice,1464.63,28.51,2690.06,50018.05,9.58,0.52,Drip irrigation,0.36,272.08,27.4
2012,Kenya,Wheat,980.62,25.64,5340.84,49111.2,9.99,0.86,Drip irrigation,0.43,690.78,26.26
2019,South Sudan,Fruits,1657.67,21.93,7580,65711.91,7.91,0.59,Drip irrigation,0.17,454.48,18.26
2016,Burundi,Cowpeas,991.17,22.08,7719.85,95900.27,4.86,0.51,Drip irrigation,0.35,774.92,69.35
1994,Kenya,Rice,625.76,23.66,3087.81,44847.68,4.62,0.84,Flood irrigation,0.14,587.49,56.99
1998,Uganda,Rice,1419.98,16.71,7841.03,35095.98,9.48,0.72,Flood irrigation,0.35,289.59,11.86
2005,Uganda,Irish potatoes,1271.17,22.55,1887.44,36543.87,9.36,0.88,Center pivot irrigation,0.39,207.66,21.95
2012,Rwanda,Fruits,956.18,18.32,2176.45,23018.86,4.24,0.88,Center pivot irrigation,0.42,341.32,43.71
1996,Kenya,Pigeon peas,1019.62,28.83,4142.93,33594.29,7.62,0.74,Center pivot irrigation,0.26,837.44,89.77
1994,South Sudan,Groundnuts,1964.67,19.75,3617.8,60953.33,9.41,0.74,Center pivot irrigation,0.48,635.45,21.77
1993,Rwanda,Fruits,588.08,23.71,1050.43,70403.15,1.91,0.68,Flood irrigation,0.32,553,37.29
1995,Rwanda,Millet,1641.48,32.05,6273.56,25142.89,6.06,0.52,Flood irrigation,0.43,410.11,11.08
2002,Burundi,Beans,1068.51,27.76,8853.4,87561.99,4.81,0.66,Center pivot irrigation,0.42,402.93,58.76
2016,Kenya,Sunflower,805.73,29.35,8043.25,72934.2,8.84,0.51,Center pivot irrigation,0.16,116.13,92.92
2005,South Sudan,Fruits,1039.76,20.33,9110.09,17910.21,5.52,0.54,Center pivot irrigation,0.13,201.94,90.33
1997,South Sudan,Millet,1106.3,24.08,7199.31,20841.24,7.84,0.73,Center pivot irrigation,0.22,932.33,75.38
2010,Uganda,Maize,871.67,30.97,1692.15,60738.12,9.53,0.51,Flood irrigation,0.25,771.77,49.53
1999,Rwanda,Vegetables,1763.41,16.13,7901.66,61166.09,4.49,0.62,Drip irrigation,0.28,779.98,78.79
2000,Uganda,Sorghum,579.7,16.65,6803.49,77250.19,7.68,0.79,Flood irrigation,0.47,173.63,66.18
1998,Kenya,Soybeans,745.87,16.31,4528.32,70036.19,3.09,0.62,Flood irrigation,0.41,968.67,39.67
1993,South Sudan,Groundnuts,785.69,24.27,3010.66,13943.6,4.53,0.71,Drip irrigation,0.35,979.33,30.99
2023,Kenya,Sunflower,1648.4,34.46,9429.92,23958.85,7.02,0.77,Drip irrigation,0.49,322.8,42.08
2018,Rwanda,Vegetables,1917.62,15.11,2607.51,33132.81,2,0.87,Flood irrigation,0.28,509.66,44.87
2000,South Sudan,Sunflower,1447.17,32.86,3924.04,32554.9,7.76,0.82,Sprinkler irrigation,0.25,677.83,27.73
2006,South Sudan,Sunflower,1216.3,24.35,3464.05,72008.17,4.37,0.69,Flood irrigation,0.14,978.03,85.76
1993,Kenya,Rice,1173.22,32.25,6339.69,71831.81,9.86,0.7,Flood irrigation,0.49,842.13,43.9
2014,Tanzania,Maize,1327,30.64,7122.68,86931.4,8.49,0.63,Flood irrigation,0.45,409.29,98
2008,Rwanda,Millet,1703.51,34.09,1746.99,85025.82,8.36,0.83,Drip irrigation,0.26,175.82,78.87
2007,Burundi,Fruits,1721.89,17.11,2782.22,81247.49,3.55,0.51,Center pivot irrigation,0.22,800.11,75.17
2022,South Sudan,Vegetables,938.42,31.58,8431.68,66952.61,5.05,0.51,Drip irrigation,0.3,508.36,58.7
1994,Tanzania,Cassava,1502.37,17.72,2161.96,86040.74,8.77,0.57,Center pivot irrigation,0.25,715.58,85.93
2011,Tanzania,Beans,1024.77,24.16,4959.45,45145.45,8.79,0.69,Center pivot irrigation,0.16,556.12,58.87
2016,Kenya,Fruits,618.72,24.37,8578.49,71005.99,2.5,0.54,Drip irrigation,0.17,818.73,49.02
2010,South Sudan,Maize,1497.48,21.28,5548.32,64815.03,9.14,0.68,Sprinkler irrigation,0.36,107.97,39.29
2019,Uganda,Maize,897.52,33.37,7344.69,50638.72,5.86,0.71,Center pivot irrigation,0.26,368.77,17.24
2013,Uganda,Irish potatoes,1274.84,21.95,8291.28,59843.59,5.22,0.88,Drip irrigation,0.14,343.19,75.26
2015,Rwanda,Vegetables,1489.56,24.18,5783.36,76570.18,2.11,0.82,Sprinkler irrigation,0.32,247.55,77.15
2023,South Sudan,Cassava,1055.65,19.53,7247.97,68313.99,9.98,0.74,Drip irrigation,0.31,627.46,57.5
2005,Rwanda,Cassava,901.19,28.08,8385.13,23922.83,4.99,0.77,Sprinkler irrigation,0.2,500.28,16.8
2011,South Sudan,Sunflower,998.1,31.2,2591.76,48426.8,8.31,0.9,Flood irrigation,0.13,473.35,59.7
1994,South Sudan,Sorghum,1723.41,21.33,8259.33,35755.92,6.54,0.61,Flood irrigation,0.3,310.1,40.11
1997,Burundi,Wheat,1824.14,32.29,8046.16,61366.48,2.86,0.65,Sprinkler irrigation,0.32,811.47,53.8
2006,Kenya,Rice,788.41,29.74,4570.04,47182.21,4.4,0.64,Flood irrigation,0.22,438.23,16.72
1996,Rwanda,Millet,1365.14,23.52,8486.11,12742.92,6.29,0.53,Drip irrigation,0.48,829.27,84.13
2020,Burundi,Wheat,1873.33,26.95,1375.77,84904.11,8.14,0.65,Flood irrigation,0.37,586.01,93.38
2016,Rwanda,Wheat,1196.78,19.12,3030.47,51835.69,1.83,0.77,Center pivot irrigation,0.22,325.36,25.54
2019,Uganda,Irish potatoes,1464.14,22.32,6351.31,31250.56,5.66,0.54,Sprinkler irrigation,0.17,794.24,56.6
2023,South Sudan,Beans,574.51,30.75,8411.84,29823.24,2.37,0.61,Sprinkler irrigation,0.48,623.83,14.94
2023,South Sudan,Vegetables,916.9,16.84,8370.04,82246.75,6.34,0.71,Sprinkler irrigation,0.43,281.31,88.61
1993,Burundi,Wheat,1255.32,19.8,4633.28,48685.81,3.1,0.89,Drip irrigation,0.21,394.72,54.35
2014,Tanzania,Sunflower,1596.35,27.44,2847.94,48384.34,3.99,0.52,Sprinkler irrigation,0.46,395.78,11.85
2019,Kenya,Millet,1269.15,24.63,6261.27,10304.29,2.58,0.69,Center pivot irrigation,0.17,598.8,94.77
2010,Tanzania,Fruits,1708.63,17.28,6599.58,62037.32,3.56,0.86,Center pivot irrigation,0.49,674.11,93.32
2008,Burundi,Soybeans,1150.31,29.69,7462.47,50746.46,6.34,0.59,Drip irrigation,0.3,441.25,35.77
1995,Kenya,Millet,727.36,34.25,5378.18,40923.26,7.91,0.88,Flood irrigation,0.39,928.53,69.65
2008,South Sudan,Sweet potatoes,1065.83,33.1,6761.67,58253.15,7.05,0.67,Flood irrigation,0.23,919.36,69.7
1994,Kenya,Sorghum,1781.69,34.56,2707.78,94802.48,5.2,0.73,Sprinkler irrigation,0.14,958.16,42.12
2008,Tanzania,Irish potatoes,714.13,31.45,3821.31,91033.77,2.42,0.6,Center pivot irrigation,0.31,313.59,53.4
2013,Tanzania,Rice,1064.82,23.86,8589.13,53082.19,2.3,0.6,Flood irrigation,0.35,406.53,61.43
2019,Tanzania,Cassava,642.08,30.36,3484.02,46524.84,3.76,0.62,Center pivot irrigation,0.37,522.9,93.5
1993,Burundi,Rice,1372.52,17.74,1430.52,48051.07,5.46,0.59,Flood irrigation,0.27,812.14,56.92
2005,South Sudan,Sorghum,944.13,30.62,7356.51,99273.93,9.68,0.54,Flood irrigation,0.37,177.22,44.29
2005,Burundi,Sorghum,1589.8,26.13,6608.18,12065.02,5.29,0.61,Sprinkler irrigation,0.48,280.07,65.03
2002,Burundi,Vegetables,1399.69,31.71,7556.69,49658.33,8.72,0.7,Drip irrigation,0.5,663.47,97.81
2005,Uganda,Sunflower,1365.69,22.2,6020.63,51248.11,7.92,0.53,Center pivot irrigation,0.2,801.79,86.55
2020,Uganda,Sorghum,1266.63,23.64,8699.24,58882.13,9.28,0.73,Drip irrigation,0.45,308.65,19.31
1995,Kenya,Pigeon peas,1095.95,32.39,4241.33,72765.07,1.05,0.55,Sprinkler irrigation,0.46,220.42,71.52
2019,Rwanda,Millet,949.53,23.98,5033.6,24601.44,8.89,0.57,Drip irrigation,0.44,162.47,23.82
2002,Rwanda,Irish potatoes,1808.41,23.2,9515.48,16716.82,4.6,0.89,Sprinkler irrigation,0.32,203.75,78.33
2001,South Sudan,Vegetables,1560.37,31.26,8056.62,56339.52,8.92,0.84,Drip irrigation,0.35,576.22,10.35
2019,South Sudan,Millet,1762.67,19.54,1484.57,59525.01,6.34,0.55,Sprinkler irrigation,0.19,691.15,71.08
2009,Uganda,Maize,1856.19,25.93,9082.44,58423.42,6.34,0.73,Sprinkler irrigation,0.2,322.82,65.53
2011,Tanzania,Groundnuts,722.42,32.17,3584.77,12243.42,1.23,0.75,Center pivot irrigation,0.26,815.79,27.11
1995,Uganda,Sweet potatoes,605.3,28.63,2633.27,48413.3,4.42,0.78,Center pivot irrigation,0.22,994.49,74.14
2023,Kenya,Fruits,822.44,34.62,6937.8,38892.71,5.67,0.79,Center pivot irrigation,0.47,789.29,67.69
2011,Uganda,Groundnuts,1808.79,15.87,9298.02,68308.87,4.41,0.78,Center pivot irrigation,0.25,589.13,85.05
2005,Rwanda,Irish potatoes,1358.64,30.59,8296.49,61257.64,5.74,0.54,Flood irrigation,0.48,887.65,11.84
2001,Rwanda,Beans,1726.98,24.57,9083.95,58218.4,9.87,0.63,Flood irrigation,0.22,930.57,63.97
2009,Burundi,Cassava,735.23,17.13,1129.04,41502.76,2.92,0.51,Sprinkler irrigation,0.45,726.35,53.39
2015,South Sudan,Sunflower,1958.2,30.43,4703.13,30845.95,5.3,0.79,Center pivot irrigation,0.21,397.16,71.53
2006,Burundi,Cowpeas,1948.67,31.57,6264.16,94168.93,3.44,0.66,Sprinkler irrigation,0.25,457.86,24.56
1997,South Sudan,Vegetables,1491.56,21.3,4376.4,57294.94,5.3,0.53,Drip irrigation,0.18,359.63,93.43
1997,Uganda,Maize,1759.39,19.76,6814.84,46738.64,7.11,0.85,Drip irrigation,0.41,334.07,65.97
2017,Rwanda,Sorghum,1028.57,30.94,5309.11,68905.13,2.97,0.67,Sprinkler irrigation,0.45,218.55,57.19
1996,Uganda,Maize,1513.2,20.26,7626.31,49930.46,8.51,0.75,Center pivot irrigation,0.14,365.45,73.6
1999,South Sudan,Pigeon peas,977.56,23.73,1552.91,16729.17,2.12,0.76,Flood irrigation,0.18,325.25,49.14
1993,Burundi,Beans,1025.91,16.51,7661.36,29933.08,7.29,0.64,Flood irrigation,0.32,373.09,29.04
1998,Burundi,Millet,1164.36,20.36,8777.35,99943.96,4.57,0.59,Sprinkler irrigation,0.43,404.66,70.33
2019,Tanzania,Groundnuts,1927.9,29.43,5431.38,34760.27,7.43,0.61,Sprinkler irrigation,0.14,288.76,74.47
2018,South Sudan,Sunflower,1167.9,31.27,5471.58,27522.58,8.44,0.6,Drip irrigation,0.38,293.23,38.73
2007,Rwanda,Soybeans,644.67,22.3,4543.56,64291.62,8.35,0.67,Center pivot irrigation,0.32,127.28,21.21
1994,Rwanda,Wheat,1295.95,27.31,3463.9,45280.76,7.77,0.64,Sprinkler irrigation,0.31,473.07,14.8
2000,Tanzania,Groundnuts,501.33,20.02,3245.22,62441.43,6.36,0.86,Flood irrigation,0.14,204.5,87.53
2022,Tanzania,Rice,1948.24,22.12,6624.15,99486.61,2.26,0.65,Center pivot irrigation,0.34,726.31,30.5
2013,South Sudan,Pigeon peas,1056.74,19.72,6256.15,93872.47,4.13,0.87,Drip irrigation,0.39,575.5,32.05
2012,Rwanda,Beans,563.56,22.49,1074.85,93966.13,6.46,0.79,Flood irrigation,0.36,294.06,57.39
2000,Tanzania,Wheat,1176.84,30.84,5724.16,37134.93,6.93,0.82,Sprinkler irrigation,0.47,316.23,95.67
2012,Tanzania,Fruits,1933.9,27.65,2317.12,70120.57,4.97,0.52,Drip irrigation,0.47,767.09,94.81
2022,Kenya,Fruits,847.2,24.67,1623.16,87058.05,2.73,0.51,Center pivot irrigation,0.43,599.56,88.71
2019,Tanzania,Millet,1420.96,24.33,4781.21,97673.91,7.66,0.63,Sprinkler irrigation,0.49,878.5,44.15
2004,Rwanda,Irish potatoes,1862.57,18.15,2721.62,14897.75,8.84,0.76,Flood irrigation,0.21,496.93,44.66
2017,Burundi,Fruits,1652.85,32.74,8334.12,70253.1,8.65,0.73,Center pivot irrigation,0.34,615.85,81.07
2007,Kenya,Maize,861.3,20.82,7074.68,57461,1.35,0.81,Sprinkler irrigation,0.1,523.32,32.84
2021,Tanzania,Irish potatoes,902.32,20.96,5076.95,95586.89,2.75,0.61,Sprinkler irrigation,0.33,423.58,48.51
2009,Uganda,Fruits,1655.75,21.99,4449.95,98230.81,7.88,0.72,Flood irrigation,0.27,614.95,15.21
1995,Kenya,Cassava,1502.18,23.41,7532.62,79999.94,7.14,0.51,Sprinkler irrigation,0.43,853.15,20.75
1993,Burundi,Rice,1412.38,24.24,8084.39,37788.49,7.3,0.89,Center pivot irrigation,0.23,260.43,49.26
2022,Kenya,Sorghum,1928.76,20.73,1241.68,30645.95,6.62,0.69,Center pivot irrigation,0.5,137.71,35.78
2011,Uganda,Groundnuts,1985.5,24.6,4640.4,24056.07,9.73,0.65,Drip irrigation,0.47,587.31,83.91
2020,Burundi,Sweet potatoes,1247.53,32.71,6058.52,20752.84,2.78,0.52,Center pivot irrigation,0.3,125.1,73.57
2000,Burundi,Sunflower,989.96,15.59,5183.74,81626.79,6.29,0.85,Drip irrigation,0.14,960.69,22.77
2014,Tanzania,Irish potatoes,855.35,24.84,6741.74,56154.69,3.15,0.69,Drip irrigation,0.19,320.05,72.44
2007,Tanzania,Rice,578.03,33.52,2914.01,33024.66,5.15,0.61,Drip irrigation,0.24,697.17,11.66
2009,Rwanda,Rice,1530.12,15.86,1252.5,75396.28,9.83,0.84,Flood irrigation,0.44,729.44,85.45
2006,Kenya,Beans,610.34,20.64,6487.84,34998.81,4.88,0.77,Drip irrigation,0.35,251.44,48.14
2010,Rwanda,Cassava,1070.68,32.09,9983.06,21888.45,1.79,0.73,Flood irrigation,0.36,920.65,75.83
2017,Uganda,Fruits,801.88,34.02,5061.11,80624.06,6.92,0.69,Sprinkler irrigation,0.28,425.53,86.69
1996,Burundi,Millet,1413.59,31.1,8177.39,97325.06,8.86,0.68,Sprinkler irrigation,0.2,966.72,98.38
2017,Burundi,Pigeon peas,640.41,23.13,3731.1,27769.56,9.21,0.66,Center pivot irrigation,0.39,873.21,65.79
2021,South Sudan,Sweet potatoes,609.67,23.42,1093.12,51655.78,8.92,0.62,Drip irrigation,0.34,961.47,56.56
1996,Burundi,Maize,1020.12,27.87,8225.25,50422,5.87,0.51,Sprinkler irrigation,0.42,689.69,81.64
2019,Burundi,Vegetables,1707.59,27.61,5891.16,48888.12,8.72,0.58,Sprinkler irrigation,0.31,189.31,95.07
1999,Rwanda,Vegetables,571.24,26.41,6506.49,34622.23,9.08,0.7,Sprinkler irrigation,0.26,893.17,60.88
2010,Kenya,Beans,593.6,18.12,3864.29,62304.85,7.84,0.62,Sprinkler irrigation,0.4,526.66,56.67
2014,Kenya,Fruits,599.2,32.97,8309.53,61723.23,2.48,0.8,Center pivot irrigation,0.43,773.05,47.29
1997,Uganda,Maize,557.17,26.43,9926.6,18082.7,9.59,0.89,Flood irrigation,0.22,194.37,28.8
2018,Tanzania,Beans,742.18,28.88,7704.85,35351.06,2.77,0.57,Center pivot irrigation,0.33,808.16,25.23
2011,Burundi,Beans,859.87,24.77,9788.61,80062.84,4.87,0.68,Center pivot irrigation,0.23,481.02,28.47
2005,Rwanda,Sunflower,1890,24.67,1304.4,40346.68,1.81,0.85,Sprinkler irrigation,0.15,642.41,82.3
2003,Tanzania,Sweet potatoes,568.25,18.53,5186.05,21307.76,5.27,0.62,Flood irrigation,0.13,783.39,55.26
2001,Kenya,Soybeans,669.55,29.78,5308.23,28340.51,7.19,0.82,Center pivot irrigation,0.25,832.4,69.88
1997,Tanzania,Fruits,581.82,23.2,2280.87,30250.48,9.56,0.78,Sprinkler irrigation,0.4,651.79,12.64
2012,Uganda,Soybeans,1527.83,26.5,2378.08,69886,8.72,0.52,Flood irrigation,0.23,586.09,41.94
2012,South Sudan,Wheat,1123.46,20.66,6322.48,47994.9,1.88,0.75,Drip irrigation,0.15,410.36,70.85
